age,gender,education,industry,industry_experience,salary
19,Male,high school,business,0,33640.60752
21,Male,high school,business,2,43554.242159999994
19,Male,high school,business,0,39795.29424000001
22,Male,high school,business,1,51102.988560000005
21,Male,high school,business,1,32809.57056
20,Male,high school,business,2,33219.304560000004
19,Male,high school,business,2,36451.86480000001
21,Male,high school,business,2,39584.16072000001
21,Male,high school,business,1,52091.17056
19,Male,high school,business,1,46367.4276
20,Male,high school,business,0,31781.861280000005
20,Male,high school,business,2,45824.65056
21,Male,high school,business,1,33768.83016
19,Male,high school,business,1,31277.647440000004
22,Male,high school,business,2,40188.63888
21,Male,high school,business,2,54002.9412
22,Male,high school,business,2,50031.89568000001
18,Male,high school,business,0,41617.40544
19,Male,high school,business,0,34322.21208
22,Male,high school,business,1,35627.576400000005
21,Male,high school,business,0,35074.19448
19,Male,high school,business,2,33844.0284
22,Male,high school,business,2,41760.08928000001
19,Male,high school,business,2,50754.95568000001
22,Male,high school,business,2,34736.766480000006
22,Male,high school,business,1,40527.99504
18,Male,high school,business,0,44565.56208
22,Male,high school,business,0,52395.819840000004
22,Male,high school,business,0,31829.101200000005
22,Male,high school,business,0,40580.055360000006
20,Male,high school,business,2,38829.28608
19,Male,high school,business,0,34217.127360000006
19,Male,high school,business,2,38953.652400000006
20,Male,high school,business,0,47227.38696
18,Male,high school,business,2,39116.581920000004
21,Male,high school,business,0,42706.81584000001
21,Male,high school,business,2,34066.73088
18,Male,high school,business,1,42030.03168000001
20,Male,high school,business,0,35176.38696
18,Male,high school,business,1,34045.521120000005
20,Male,high school,business,2,40233.95064
20,Male,high school,business,1,40532.815440000006
21,Male,high school,business,2,53898.82056
21,Male,high school,business,2,47798.12232000001
18,Male,high school,business,0,42084.02016
20,Male,high school,business,0,49849.68456
20,Male,high school,business,0,41941.33632000001
20,Male,high school,business,1,36482.71536
20,Male,high school,business,2,53030.18448
20,Male,high school,business,2,53356.04352
23,Male,high school,business,5,44670.6468
27,Male,high school,business,3,49997.18880000001
23,Male,high school,business,5,63264.85776000001
28,Male,high school,business,1,65324.13264
28,Male,high school,business,2,67176.13032
24,Male,high school,business,1,68678.16696
26,Male,high school,business,1,51495.36912
23,Male,high school,business,4,41134.40136
26,Male,high school,business,1,71123.07384
28,Male,high school,business,5,63340.056
24,Male,high school,business,2,41574.02184
25,Male,high school,business,1,58369.25952000001
26,Male,high school,business,4,62543.725920000004
23,Male,high school,business,5,40704.42168000001
27,Male,high school,business,4,64960.67448000001
28,Male,high school,business,4,45283.80168000001
27,Male,high school,business,1,63609.03431999999
24,Male,high school,business,2,43371.066960000004
25,Male,high school,business,4,53492.94288
28,Male,high school,business,4,58607.38728
27,Male,high school,business,1,49313.65608
28,Male,high school,business,2,51645.7656
25,Male,high school,business,5,63104.82048000002
27,Male,high school,business,1,46277.76816000001
28,Male,high school,business,5,56989.66104
25,Male,high school,business,2,50568.88824000001
24,Male,high school,business,4,58048.22088
